person_id,person_name,first_seen_ward,source_url
5d2f0c14a4be48d1,Aathouli-Singh PG,Handsworth Wood Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
686db484f66820b4,Abedin Md Joynal,Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
34243f456ed7a1b3,"Abu, Nowshed",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
3f449d7ad171322a,Afzal Muhammad,Aston Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
c769cca8ae1d1f2d,Ahmed Foysol,Holyhead Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
6133a596f3c3fe31,Ahmed Mujakkir,Holyhead Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
05b09e7afa3a1d00,Ahmed Shaaky,Small Heath Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
02bb1b586a26367c,Ahmed Sultan,Newtown Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
2708117e78764bf1,"Ahmed, Akhlaq",Hall Green North Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
8c1fed6516f53982,"Aikhlaq, Mohammed",Ward End Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/7
56b88dbbe6964d31,Aitken Alex,Kings Norton Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
0c74f9427458b86b,Akhtar Pervez,Small Heath Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
982a990bf3083a78,Akhtar Safia Alif Noor,Small Heath Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
5662586b61bc5832,Alden John Edward Cambray,Shard End Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
a433c9cd7bd1499a,Alden Robert James Cambray,Erdington Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
a3beeb3c6a10648a,Alex Yip,Sutton Wylde Green Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
d11bc87b7ab61509,Ali Mothin,Yardley West and Stechford Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/7
2b265f7abe27bd10,Ali Nazabit,Ward End Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/7
c220218df4233c7e,Ali Rizwan,Handsworth Wood Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
46a9c8cea4ae1f92,Ali Suhel,Sheldon Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
